## Classical Chinese Character Frequency List
## 古汉语单字频率列表
## 拼音取自于http://www.mandarintools.com/cedict.html, http://www.chinese-forums.com/vocabulary/和http://sh.netsh.com/bbs/1951/。
## 英文翻译来自于CEDICT at http://www.mandarintools.com/cedict.html
## Columns are tab delimited. 行间分隔符为Tab键。
## http://lingua.mtsu.edu/chinese-computing/statistics/index.html
## http://lingua.mtsu.edu/chinese-computing/statistics/char/download.php?Which=CL
id	character	occurrences	frequency	pinyins	traductions
21	中	279367	14.2509504102	zhong1/zhong4	within/among/in/middle/center/while (doing sth)/during/China/Chinese, hit (the mark)
22	曰	276396	14.6739065233	yue1	to speak/to say
23	下	269417	15.0861829929	xia4	under/second (of two parts)/next (week, etc.)/lower/below/underneath/down(wards)/to decline/to go down/latter
24	于	268661	15.4973025905	yu2	(surname), in/at/to/from/by/than/out of
25	三	258784	15.8933078683	san1	three/3
26	得	258401	16.2887270587	de2/de/dei3	obtain/get/gain/proper/suitable/proud/contented/allow/permit/ready/finished, a sentence particle used after a verb to show effect/degree or possibility, to have to/must/ought to/to need to
27	在	256621	16.6814223969	zai4	(located) at/in/exist
28	年	254552	17.0709516393	nian2	year
29	我	248990	17.4519696084	wo3	I/me/myself
30	他	239649	17.8186934739	ta1	he/him
31	王	235998	18.1798303817	wang2	king/Wang (proper name)
32	说	234675	18.5389427634	shui4/shuo1	persuade (politically), to speak/to say
33	事	228046	18.8879110905	shi4	matter/thing/item/work/affair
34	见	225308	19.232689582	jian4/xian4	to see/to meet/to appear (to be sth)/to interview, appear
35	将	220345	19.5698734223	jiang1/jiang4	(will, shall, "future tense")/ready/prepared/to get/to use, a general
36	者	219357	19.9055453715	zhe3	-ist, -er (person)/person (who does sth)
37	去	217526	20.2384154255	qu4	to go/to leave/to remove
38	日	207076	20.5552943242	ri4	Japan/day/sun/date/day of the month
39	天	205643	20.8699803687	tian1	day/sky/heaven
40	州	198680	21.1740112539	zhou1	(United States) state/province/sub-prefecture
41	出	198225	21.4773458734	chu1	to go out/to come out/to occur/to produce/to go beyond/to rise/to put forth/to occur/to happen/(a measure word for dramas, plays, or operas)
42	后	198184	21.7806177526	hou4	empress/queen/surname, back/behind/rear/afterwards/after/later
43	又	196326	22.0810464196	you4	(once) again/also/both... and.../again
44	自	194241	22.3782845068	zi4	from/self/oneself/since
45	此	190979	22.6705309051	ci3	this/these
46	个	190792	22.9624911459	ge4	(a measure word)/individual
47	时	190792	23.2544513868	shi2	o'clock/time/when/hour/season/period
48	无	190474	23.5459250068	wu2	-less/not to have/no/none/not/to lack/un-
49	军	188604	23.8345370516	jun1	army/military/arms
50	太	187704	24.1217718678	tai4	highest/greatest/too (much)/very/extremely
51	这	183670	24.4028336389	zhe4/zhei4	this/these, this/these/(sometimes used before a measure word, especially in Beijing)
52	与	182185	24.6816229826	yu2/yu3/yu4	(interrog. part.), and/to give/together with, take part in
53	月	179275	24.9559592869	yue4	moon/month
54	所	179032	25.2299237395	suo3	actually/place
55	家	175204	25.4980303793	jia1	furniture/tool, -ist/-er/-ian/home/family/a person engaged in a certain art or profession
56	如	174978	25.7657911818	ru2	as (if)/such as
57	知	171791	26.0286750644	zhi1	to know/to be aware
58	你	167875	26.2855664719	ni3	you
59	里	165783	26.5392565879	li3	inside/internal/interior, village/within/inside, Chinese mile/neighborhood/li, a Chinese unit of length = one-half kilometer/hometown
60	公	162432	26.7878188223	gong1	just/honorable (designation)/public/common
61	行	161764	27.035358847	hang2/xing2/xing4	a row/profession/professional, all right/capable/competent/OK/okay/to go/to do/to travel/temporary/to walk/to go/will do, behavior/conduct
62	可	159838	27.2799516023	ke3	can/may/able to/certain(ly)/to suit/(particle used for emphasis)
63	使	158413	27.5223637456	shi3	to make/to cause/to enable/to use/to employ/messenger
64	到	157898	27.7639878079	dao4	to (a place)/until (a time)/up to/to go/to arrive
65	四	157771	28.005417528	si4	four/4
66	至	157762	28.2468334758	zhi4	arrive/most/to/until
67	五	153704	28.4820396524	wu3	five/5
68	那	148465	28.7092288278	na3/na4/nei4	how/which, that/those, that/those/(sometimes used before a measure word, especially in Beijing)
69	官	147604	28.9351004544	guan1	official/government
70	书	143359	29.1544761524	shu1	book/letter
71	生	143000	29.3733024891	sheng1	to be born/to give birth/life/to grow
72	小	141445	29.5897492807	xiao3	small/tiny/few/young
73	言	140703	29.8050606238	yan2	to speak/to say/talk/word
74	何	138611	30.0171706752	he2	carry/what/how/why/which
75	相	136092	30.2254260166	xiang1/xiang4	each other/one another/mutually, appearance/portrait/picture
76	兵	132686	30.4284693125	bing1	soldiers/a force/an army/weapons/arms/military/warlike
77	今	128656	30.6253456844	jin1	today/modern/present/current/this/now
78	都	126540	30.8189840386	dou1/du1	all/both (if two things are involved)/entirely (due to)each/even/already, (surname)/metropolis/capital city
79	南	126357	31.0123423563	nan2	south
80	山	125910	31.2050166504	shan1	mountain/hill
81	就	125515	31.3970864941	jiu4	at once/then/right away/only/(emphasis)/to approach/to move towards/to undertake
82	只	122161	31.5840238656	qi2/zhi1/zhi3	earth-spirit/peace, (a measure word, for birds and some animals, etc.)/single/only, M for one of a pair, only/merely/just/but, but/only
83	正	122117	31.7708939059	zheng1/zheng4	Chinese 1st month of year, just (right)/main/upright/straight/correct/principle
84	前	121474	31.9567799928	qian2	before/in front/ago/former/previous/earlier/front
85	明	121369	32.142505403	ming2	clear/bright/to understand/next/the Ming dynasty
86	东	121082	32.3277916303	dong1	east
87	着	120605	32.5123479264	zhao1/zhao2/zhe/zhu4/zhuo2	catch/receive/suffer, part. indicates the successful result of a verb/to touch/to come in contact with/to feel/to be affected by/to catch fire/to fall asleep/to burn, -ing part. (indicates an action in progress)/part. coverb-forming after some verbs, to make known/to show/to prove/to write/book/outstanding, to wear (clothes)/to contact/to use/to apply
88	门	119785	32.6956494141	men2	opening/door/gate/doorway/gateway/valve/switch/way to do something/knack/family/house/(religious) sect/school (of thought)/class/category/phylum or division (taxonomy)
89	帝	119367	32.8783112556	di4	emperor
90	等	118863	33.0602018491	deng3	class/rank/grade/equal to/same as/wait for/await/et cetera/and so on
91	文	118804	33.2420021575	wen2	language/culture/writing/formal/literary
92	国	118791	33.4237825727	guo2	country/state/nation
93	百	118755	33.6055078987	bai3	hundred
94	西	117279	33.7849745696	xi1	west
95	心	116995	33.9640066484	xin1	heart/mind
96	安	115710	34.1410723507	an1	content/calm/still/quiet/to pacify/peace
97	然	112576	34.3133422366	ran2	correct/right/so/thus/like this/-ly
98	要	112468	34.485446855	yao1/yao4	demand/ask/request/coerce, important/vital/to want/to be going to/must
99	好	111987	34.6568154212	hao3/hao4	good/well, be fond of
100	入	111135	34.826880211	ru4	to enter
101	回	110379	34.9957881286	hui2	(a measure word for matters or actions) a time/to circle/to go back/to turn around/to answer/to return/to revolve/Islam
102	同	109694	35.1636478222	tong2	like/same/similar/together/alike/with
103	从	109587	35.3313437786	cong1/cong2/zong4	lax/yielding/unhurried, from/obey/observe/follow, second cousin
104	老	107286	35.4955186203	lao3	(a prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family to indicate affection or familiarity)/old (of people)
105	两	107285	35.6596919317	liang3	both/two/ounce/some/a few/tael
106	进	106955	35.8233602593	jin4	advance/enter/to come in
107	已	106071	35.9856758422	yi3	already/to stop/then/afterwards
108	马	105220	36.1466891789	ma3	horse/horse chess piece/Surname
109	起	102872	36.304109479	qi3	to rise/to raise/to get up
110	云	102743	36.4613323763	yun2	(classical) to say, cloud/(abbr.) for Yunnan/surname
111	元	102650	36.61841296	yuan2	(dynasty)/dollar/primary/first
112	当	102275	36.7749196984	dang1/dang4	to be/to act as/manage/withstand/when/during/ought/should/match equally/equal/same/obstruct/just at (a time or place)/on the spot/right/just at, at or in the very same.../to pawn/suitable/adequate/fitting/proper/replace/represent
113	及	102141	36.9312213827	ji2	to reach/and
114	未	101893	37.087143564	wei4	1-3 p.m./8th earthly branch/not yet/did not/have not/not
115	臣	101199	37.242003749	chen2	statesman/vassal/courtier/minister/official
116	便	100548	37.3958677385	bian4/pian2	ordinary/plain/convenient/handy/easy/then/so/thus/to relieve oneself, advantageous/cheap
117	还	99959	37.5488304084	hai2/huan2/huan4	also/in addition/more/still/else/still/yet/(not) yet, (surname)/pay back/return
118	地	99598	37.7012406566	de/di4	(subor. part. adverbial)/-ly, earth/ground/field/place/land
119	夫	99414	37.853369338	fu1	porter, husband/man
120	城	99221	38.0052026803	cheng2	city walls/city/town
121	过	98585	38.1560627811	guo4	(experienced action marker)/to cross/to go over/to pass (time)/to celebrate (a holiday)/to live/to get along/(surname)/excessively/too-
122	看	97996	38.3060215621	kan1/kan4	to look after/to take care of/to watch/to guard, it depends/think/to see/to look at
123	令	97468	38.455172369	ling4	make or cause to be/order/command/decree/honorable
124	儿	97208	38.6039253099	er2/er	son, non-syllabic dimi. suff.
125	多	97178	38.7526323431	duo1	many/much/a lot of/numerous/multi-
126	六	96620	38.9004854945	liu4	six/6
127	用	96197	39.0476913485	yong4	to use
128	方	96189	39.1948849604	fang1	square/quadrilateral/direction/just
129	士	95074	39.340372339	shi4	scholar/warrior/knight
130	乃	93859	39.4840004588	nai3	to be/thus/so/therefore/then/only/thereupon
131	分	93854	39.6276209274	fen1/fen4	to divide/minute/(a measure word)/(a unit of length = 0.33 centimeter), part
132	长	93460	39.7706384759	chang2/zhang3	length/long/forever/always/constantly, chief/head/elder/to grow/to develop
133	金	92847	39.9127179786	jin1	metal/money/gold
134	平	92797	40.0547209686	ping2	flat/level/equal/to make the same score/to tie/to draw/calm/peaceful
135	能	92617	40.1964485128	neng2	can/may/capable/energy/able
136	故	92182	40.3375103965	gu4	happening/instance/reason/cause/deceased/old
137	则	91626	40.477721459	ze2	(expresses contrast with a previous sentence or clause)/standard/norm/rule/to imitate/to follow/then/principle
138	命	91214	40.6173020567	ming4	life/fate
139	万	90800	40.7562491293	wan4	Wan (surname)/ten thousand/a great number
140	头	90709	40.8950569487	tou2/tou	head, suff. for nouns
141	先	90196	41.0330797478	xian1	early/prior/former/in advance/first
142	史	89992	41.170790375	shi3	history
143	名	89942	41.3084244896	ming2	name/(measure word for persons)/place (e.g. among winners)
144	皆	89848	41.4459147602	jie1	all/each and every/in all cases
145	主	88601	41.581496804	zhu3	to own/to host/master/lord/primary
146	死	88148	41.7163856426	si3	to die/inpassable/uncrossable/inflexible/rigid
147	司	87942	41.850959249	si1	company/control
148	成	87437	41.984760077	cheng2/cheng4	finish/complete/accomplish/become/turn into/win/succeed/one tenth, finish/complete/accomplish/become/turn into/win/succeed/one tenth
149	问	86982	42.1178646394	wen4	to ask
150	武	86684	42.250513186	wu3	martial/military
151	外	86106	42.3822772458	wai4	outside/in addition/foreign/external
152	复	85281	42.512778846	fu4	again/recover/reply to a letter/to repeat/to duplicate, repeat, double, overlap
153	水	84309	42.6417930391	shui3	water/river
154	八	83894	42.7701721768	ba1	eight/8
155	请	83185	42.8974663644	qing3	to ask/to invite/please (do sth)/to treat (to a meal, etc)/to request
156	七	82585	43.0238423995	qi1	seven/7
157	师	81976	43.1492865098	shi1	a division (milit.)/teacher/master/expert/model
158	宗	81905	43.2746219721	zong1	school/sect/purpose/model/ancestor/family
159	高	81718	43.3996712769	gao1	high/tall
160	千	81229	43.5239722875	qian1	thousand, a swing
161	诸	80892	43.6477576024	zhu1	(surname)/all/many/various
162	听	80514	43.7709644812	ting1/ting4	listen/hear/obey, let/allow
163	内	80430	43.8940428187	nei4	inside/inner/internal/within/interior
164	若	79297	44.0153873783	ruo4	to seem/like/as/if
165	朝	79269	44.1366890908	chao2/zhao1	to face/towards/facing/direct/a dynasty/the imperial court/(abbr.) Korea, esp. N. Korea, morning
166	身	79207	44.2578959275	shen1	body/torso/person/life/status/pregnancy/(a measure word used for clothes) suit
167	尚	79012	44.3788043647	shang4	still/yet/to value/to esteem
168	李	77749	44.497780091	li3	(a surname)/plum
169	和	77568	44.6164788412	he2/he4/huo2/huo4	and/together with/with/peace/harmony/union, cap (a poem)/respond in singing, soft/warm, mix together/to blend
