# http://lingua.mtsu.edu/chinese-computing/phonology/hz2py.php
id	character	syllable	phonemes
1149	嫉	ji	tsi
1150	级	ji	tsi
1151	挤	ji	tsi
1152	几	ji	tsi
1153	脊	ji	tsi
1154	己	ji	tsi
1155	蓟	ji	tsi
1156	技	ji	tsi
1157	冀	ji	tsi
1158	季	ji	tsi
1159	伎	ji	tsi
1160	祭	ji	tsi
1161	剂	ji	tsi
1162	悸	ji	tsi
1163	济	ji	tsi
1164	寄	ji	tsi
1165	寂	ji	tsi
1166	计	ji	tsi
1167	记	ji	tsi
1168	既	ji	tsi
1169	忌	ji	tsi
1170	际	ji	tsi
1171	妓	ji	tsi
1172	继	ji	tsi
1173	纪	ji	tsi
1174	嘉	jia	tsia
1175	枷	jia	tsia
1176	夹	jia	tsia
1177	佳	jia	tsia
1178	家	jia	tsia
1179	加	jia	tsia
1180	荚	jia	tsia
1181	颊	jia	tsia
1182	贾	jia	tsia
1183	甲	jia	tsia
1184	钾	jia	tsia
1185	假	jia	tsia
1186	稼	jia	tsia
1187	价	jia	tsia
1188	架	jia	tsia
1189	驾	jia	tsia
1190	嫁	jia	tsia
1191	歼	jian	tsian
1192	监	jian	tsian
1193	坚	jian	tsian
1194	尖	jian	tsian
1195	笺	jian	tsian
1196	间	jian	tsian
1197	煎	jian	tsian
1198	兼	jian	tsian
1199	肩	jian	tsian
1200	艰	jian	tsian
1201	奸	jian	tsian
1202	缄	jian	tsian
1203	茧	jian	tsian
1204	检	jian	tsian
1205	柬	jian	tsian
1206	硷	jian	tsian
1207	拣	jian	tsian
1208	捡	jian	tsian
1209	简	jian	tsian
1210	俭	jian	tsian
1211	剪	jian	tsian
1212	减	jian	tsian
1213	荐	jian	tsian
1214	槛	kan	khan
1215	鉴	jian	tsian
1216	践	jian	tsian
1217	贱	jian	tsian
1218	见	jian	tsian
1219	键	jian	tsian
1220	箭	jian	tsian
1221	件	jian	tsian
1222	健	jian	tsian
1223	舰	jian	tsian
1224	剑	jian	tsian
1225	饯	jian	tsian
1226	渐	jian	tsian
1227	溅	jian	tsian
1228	涧	jian	tsian
1229	建	jian	tsian
1230	僵	jiang	tsiaN
1231	姜	jiang	tsiaN
1232	将	jiang	tsiaN
1233	浆	jiang	tsiaN
1234	江	jiang	tsiaN
1235	疆	jiang	tsiaN
1236	蒋	jiang	tsiaN
1237	桨	jiang	tsiaN
1238	奖	jiang	tsiaN
1239	讲	jiang	tsiaN
1240	匠	jiang	tsiaN
1241	酱	jiang	tsiaN
1242	降	xiang	siaN
1243	蕉	jiao	tsiau
1244	椒	jiao	tsiau
1245	礁	jiao	tsiau
1246	焦	jiao	tsiau
1247	胶	jiao	tsiau
1248	交	jiao	tsiau
1249	郊	jiao	tsiau
1250	浇	jiao	tsiau
1251	骄	jiao	tsiau
1252	娇	jiao	tsiau
1253	嚼	jue	tsy«
1254	搅	jiao	tsiau
1255	铰	jiao	tsiau
1256	矫	jiao	tsiau
1257	侥	jiao	tsiau
1258	脚	jiao	tsiau
1259	狡	jiao	tsiau
1260	角	jiao	tsiau
1261	饺	jiao	tsiau
1262	缴	jiao	tsiau
1263	绞	jiao	tsiau
1264	剿	jiao	tsiau
1265	教	jiao	tsiau
1266	酵	jiao	tsiau
1267	轿	jiao	tsiau
1268	较	jiao	tsiau
1269	叫	jiao	tsiau
1270	窖	jiao	tsiau
1271	揭	jie	tsi«
1272	接	jie	tsi«
1273	皆	jie	tsi«
1274	秸	jie	tsi«
1275	街	jie	tsi«
1276	阶	jie	tsi«
1277	截	jie	tsi«
1278	劫	jie	tsi«
1279	节	jie	tsi«
1280	桔	ju	tsy
1281	杰	jie	tsi«
1282	捷	jie	tsi«
1283	睫	jie	tsi«
1284	竭	jie	tsi«
1285	洁	jie	tsi«
1286	结	jie	tsi«
1287	解	jie	tsi«
1288	姐	jie	tsi«
1289	戒	jie	tsi«
1290	藉	ji	tsi
1291	芥	jie	tsi«
1292	界	jie	tsi«
1293	借	jie	tsi«
1294	介	jie	tsi«
1295	疥	jie	tsi«
1296	诫	jie	tsi«
1297	届	jie	tsi«
1298	巾	jin	tsin
1299	筋	jin	tsin
1300	斤	jin	tsin
1301	金	jin	tsin
1302	今	jin	tsin
1303	津	jin	tsin
1304	襟	jin	tsin
1305	紧	jin	tsin
1306	锦	jin	tsin
1307	仅	jin	tsin
1308	谨	jin	tsin
1309	进	jin	tsin
1310	靳	jin	tsin
1311	晋	jin	tsin
1312	禁	jin	tsin
1313	近	jin	tsin
1314	烬	jin	tsin
1315	浸	jin	tsin
1316	尽	jin	tsin
1317	劲	jing	tsi«N
1318	荆	jing	tsi«N
1319	兢	jing	tsi«N
1320	茎	jing	tsi«N
1321	睛	jing	tsi«N
1322	晶	jing	tsi«N
1323	鲸	jing	tsi«N
1324	京	jing	tsi«N
1325	惊	jing	tsi«N
1326	精	jing	tsi«N
1327	粳	jing	tsi«N
1328	经	jing	tsi«N
1329	井	jing	tsi«N
1330	警	jing	tsi«N
1331	景	jing	tsi«N
1332	颈	jing	tsi«N
1333	静	jing	tsi«N
1334	境	jing	tsi«N
1335	敬	jing	tsi«N
1336	镜	jing	tsi«N
1337	径	jing	tsi«N
1338	痉	jing	tsi«N
1339	靖	jing	tsi«N
1340	竟	jing	tsi«N
1341	竞	jing	tsi«N
1342	净	jing	tsi«N
1343	炯	jiong	tsiuN
1344	窘	jiong	tsiuN
1345	揪	jiu	tsi«u
1346	究	jiu	tsi«u
1347	纠	jiu	tsi«u
1348	玖	jiu	tsi«u
1349	韭	jiu	tsi«u
1350	久	jiu	tsi«u
1351	灸	jiu	tsi«u
1352	九	jiu	tsi«u
1353	酒	jiu	tsi«u
1354	厩	jiu	tsi«u
1355	救	jiu	tsi«u
1356	旧	jiu	tsi«u
1357	臼	jiu	tsi«u
1358	舅	jiu	tsi«u
1359	咎	jiu	tsi«u
1360	就	jiu	tsi«u
1361	疚	jiu	tsi«u
1362	鞠	ju	tsy
1363	拘	ju	tsy
1364	狙	ju	tsy
1365	疽	ju	tsy
1366	居	ju	tsy
1367	驹	ju	tsy
1368	菊	ju	tsy
1369	局	ju	tsy
1370	咀	ju	tsy
1371	矩	ju	tsy
1372	举	ju	tsy
1373	沮	ju	tsy
1374	聚	ju	tsy
1375	拒	ju	tsy
1376	据	ju	tsy
1377	巨	ju	tsy
1378	具	ju	tsy
1379	距	ju	tsy
1380	踞	ju	tsy
1381	锯	ju	tsy
1382	俱	ju	tsy
1383	句	ju	tsy
1384	惧	ju	tsy
1385	炬	ju	tsy
1386	剧	ju	tsy
1387	捐	juan	tsyan
1388	鹃	juan	tsyan
1389	娟	juan	tsyan
1390	倦	juan	tsyan
1391	眷	juan	tsyan
1392	卷	juan	tsyan
1393	绢	juan	tsyan
1394	撅	jue	tsy«
1395	攫	jue	tsy«
1396	抉	jue	tsy«
1397	掘	jue	tsy«
1398	倔	jue	tsy«
1399	爵	jue	tsy«
1400	觉	jue	tsy«
1401	决	jue	tsy«
1402	诀	jue	tsy«
1403	绝	jue	tsy«
1404	均	jun	tsuin
1405	菌	jun	tsuin
1406	钧	jun	tsuin
1407	军	jun	tsuin
1408	君	jun	tsuin
1409	峻	jun	tsuin
1410	俊	jun	tsuin
1411	竣	jun	tsuin
1412	浚	jun	tsuin
1413	郡	jun	tsuin
1414	骏	jun	tsuin
1415	喀	ka	kha
1416	咖	ka	kha
1417	卡	ka	kha
1418	咯	luo	lu«
1419	开	kai	khai
1420	揩	kai	khai
1421	凯	kai	khai
1422	慨	kai	khai
1423	刊	kan	khan
1424	堪	kan	khan
1425	勘	kan	khan
1426	坎	kan	khan
1427	砍	kan	khan
1428	看	kan	khan
1429	康	kang	khaN
1430	慷	kang	khaN
1431	糠	kang	khaN
1432	扛	kang	khaN
1433	抗	kang	khaN
1434	亢	kang	khaN
1435	炕	kang	khaN
1436	考	kao	khau
1437	拷	kao	khau
1438	烤	kao	khau
1439	靠	kao	khau
1440	坷	ke	kh«
1441	苛	ke	kh«
1442	柯	ke	kh«
1443	棵	ke	kh«
1444	磕	ke	kh«
1445	颗	ke	kh«
1446	科	ke	kh«
1447	壳	ke	kh«
1448	咳	ke	kh«
1449	可	ke	kh«
1450	渴	ke	kh«
1451	克	ke	kh«
1452	刻	ke	kh«
1453	客	ke	kh«
1454	课	ke	kh«
1455	肯	ken	kh«n
1456	啃	ken	kh«n
1457	垦	ken	kh«n
1458	恳	ken	kh«n
1459	坑	keng	kh«N
1460	吭	keng	kh«N
1461	空	kong	khuN
1462	恐	kong	khuN
1463	孔	kong	khuN
1464	控	kong	khuN
1465	抠	kou	kh«u
1466	口	kou	kh«u
1467	扣	kou	kh«u
1468	寇	kou	kh«u
1469	枯	ku	khu
1470	哭	ku	khu
1471	窟	ku	khu
1472	苦	ku	khu
1473	酷	ku	khu
1474	库	ku	khu
1475	裤	ku	khu
1476	夸	kua	khua
1477	垮	kua	khua
1478	挎	kua	khua
1479	跨	kua	khua
1480	胯	kua	khua
1481	块	kuai	khuai
1482	筷	kuai	khuai
1483	侩	kuai	khuai
1484	快	kuai	khuai
1485	宽	kuan	khuan
1486	款	kuan	khuan
1487	匡	kuang	khuaN
1488	筐	kuang	khuaN
1489	狂	kuang	khuaN
1490	框	kuang	khuaN
1491	矿	kuang	khuaN
1492	眶	kuang	khuaN
1493	旷	kuang	khuaN
1494	况	kuang	khuaN
1495	亏	kui	khu«i
1496	盔	kui	khu«i
1497	岿	kui	khu«i
1498	窥	kui	khu«i
1499	葵	kui	khu«i
1500	奎	kui	khu«i
1501	魁	kui	khu«i
1502	傀	kui	khu«i
1503	馈	kui	khu«i
1504	愧	kui	khu«i
1505	溃	kui	khu«i
1506	坤	kun	khu«n
1507	昆	kun	khu«n
1508	捆	kun	khu«n
1509	困	kun	khu«n
1510	括	kuo	khu«
1511	扩	kuo	khu«
1512	廓	kuo	khu«
1513	阔	kuo	khu«
1514	垃	la	la
1515	拉	la	la
1516	喇	la	la
1517	蜡	la	la
1518	腊	la	la
1519	辣	la	la
1520	啦	la	la
1521	莱	lai	lai
1522	来	lai	lai
1523	赖	lai	lai
1524	蓝	lan	lan
1525	婪	lan	lan
1526	栏	lan	lan
1527	拦	lan	lan
1528	篮	lan	lan
1529	阑	lan	lan
1530	兰	lan	lan
1531	澜	lan	lan
1532	谰	lan	lan
1533	揽	lan	lan
1534	览	lan	lan
1535	懒	lan	lan
1536	缆	lan	lan
1537	烂	lan	lan
1538	滥	lan	lan
1539	琅	lang	laN
1540	榔	lang	laN
1541	狼	lang	laN
1542	廊	lang	laN
1543	郎	lang	laN
1544	朗	lang	laN
1545	浪	lang	laN
1546	捞	lao	lau
1547	劳	lao	lau
1548	牢	lao	lau
1549	老	lao	lau
1550	佬	lao	lau
1551	姥	lao	lau
1552	酪	lao	lau
1553	烙	lao	lau
1554	涝	lao	lau
1555	勒	le	l«
1556	乐	le	l«
1557	雷	lei	l«i
1558	镭	lei	l«i
1559	蕾	lei	l«i
1560	磊	lei	l«i
1561	累	lei	l«i
1562	儡	lei	l«i
1563	垒	lei	l«i
1564	擂	lei	l«i
1565	肋	lei	l«i
1566	类	lei	l«i
1567	泪	lei	l«i
1568	棱	leng	l«N
1569	楞	leng	l«N
1570	冷	leng	l«N
1571	厘	li	li
1572	梨	li	li
1573	犁	li	li
1574	黎	li	li
1575	篱	li	li
1576	狸	li	li
1577	离	li	li
1578	漓	li	li
1579	理	li	li
1580	李	li	li
1581	里	li	li
1582	鲤	li	li
1583	礼	li	li
1584	莉	li	li
1585	荔	li	li
1586	吏	li	li
1587	栗	li	li
1588	丽	li	li
1589	厉	li	li
1590	励	li	li
1591	砾	li	li
1592	历	li	li
1593	利	li	li
1594	例	li	li
1595	俐	li	li
1596	痢	li	li
1597	立	li	li
1598	粒	li	li
1599	沥	li	li
1600	隶	li	li
1601	力	li	li
1602	璃	li	li
1603	哩	li	li
1604	俩	liang	liaN
1605	联	lian	lian
1606	莲	lian	lian
1607	连	lian	lian
1608	镰	lian	lian
1609	廉	lian	lian
1610	怜	lian	lian
1611	涟	lian	lian
1612	帘	lian	lian
1613	敛	lian	lian
1614	脸	lian	lian
1615	链	lian	lian
1616	恋	lian	lian
1617	炼	lian	lian
1618	练	lian	lian
1619	粮	liang	liaN
1620	凉	liang	liaN
1621	梁	liang	liaN
1622	粱	liang	liaN
1623	良	liang	liaN
1624	两	liang	liaN
1625	辆	liang	liaN
1626	量	liang	liaN
1627	晾	liang	liaN
1628	亮	liang	liaN
1629	谅	liang	liaN
1630	撩	liao	liau
1631	聊	liao	liau
1632	僚	liao	liau
1633	疗	liao	liau
1634	燎	liao	liau
1635	寥	liao	liau
1636	辽	liao	liau
1637	潦	liao	liau
1638	了	le	l«
1639	撂	liao	liau
1640	镣	liao	liau
1641	廖	liao	liau
1642	料	liao	liau
1643	列	lie	li«
1644	裂	lie	li«
1645	烈	lie	li«
1646	劣	lie	li«
1647	猎	lie	li«
1648	琳	lin	lin
1649	林	lin	lin
1650	磷	lin	lin
1651	霖	lin	lin
1652	临	lin	lin
1653	邻	lin	lin
1654	鳞	lin	lin
1655	淋	lin	lin
1656	凛	lin	lin
1657	赁	lin	lin
1658	吝	lin	lin
1659	拎	ling	li«N
1660	玲	ling	li«N
1661	菱	ling	li«N
1662	零	ling	li«N
1663	龄	ling	li«N
1664	铃	ling	li«N
1665	伶	ling	li«N
1666	羚	ling	li«N
1667	凌	ling	li«N
1668	灵	ling	li«N
1669	陵	ling	li«N
1670	岭	ling	li«N
1671	领	ling	li«N
1672	另	ling	li«N
1673	令	ling	li«N
1674	溜	liu	li«u
1675	琉	liu	li«u
1676	榴	liu	li«u
1677	硫	liu	li«u
1678	馏	liu	li«u
1679	留	liu	li«u
1680	刘	liu	li«u
1681	瘤	liu	li«u
1682	流	liu	li«u
1683	柳	liu	li«u
1684	六	liu	li«u
1685	龙	long	luN
1686	聋	long	luN
1687	咙	long	luN
1688	笼	long	luN
1689	窿	long	luN
1690	隆	long	luN
1691	垄	long	luN
1692	拢	long	luN
1693	陇	long	luN
1694	楼	lou	l«u
1695	娄	lou	l«u
1696	搂	lou	l«u
1697	篓	lou	l«u
1698	漏	lou	l«u
1699	陋	lou	l«u
1700	芦	lu	lu
1701	卢	lu	lu
1702	颅	lu	lu
1703	庐	lu	lu
1704	炉	lu	lu
1705	掳	lu	lu
1706	卤	lu	lu
1707	虏	lu	lu
1708	鲁	lu	lu
1709	麓	lu	lu
1710	碌	lu	lu
1711	露	lu	lu
1712	路	lu	lu
1713	赂	lu	lu
1714	鹿	lu	lu
1715	潞	lu	lu
1716	禄	lu	lu
1717	录	lu	lu
1718	陆	lu	lu
1719	戮	lu	lu
1720	驴	lü
1721	吕	lü
1722	铝	lü
1723	侣	lü
1724	旅	lü
1725	履	lü
1726	屡	lü
1727	缕	lü
1728	虑	lü
1729	氯	lü
1730	律	lü
1731	率	lü
1732	滤	lü
1733	绿	lü
1734	峦	luan	luan
1735	挛	luan	luan
1736	孪	luan	luan
1737	滦	luan	luan
1738	卵	luan	luan
1739	乱	luan	luan
1740	掠	lüe
1741	略	lüe
1742	抡	lun	lu«n
1743	轮	lun	lu«n
1744	伦	lun	lu«n
1745	仑	lun	lu«n
1746	沦	lun	lu«n
1747	纶	lun	lu«n
1748	论	lun	lu«n
1749	萝	luo	lu«
1750	螺	luo	lu«
1751	罗	luo	lu«
1752	逻	luo	lu«
1753	锣	luo	lu«
1754	箩	luo	lu«
1755	骡	luo	lu«
1756	裸	luo	lu«
1757	落	luo	lu«
1758	洛	luo	lu«
1759	骆	luo	lu«
1760	络	luo	lu«
1761	妈	ma	ma
1762	麻	ma	ma
1763	玛	ma	ma
1764	码	ma	ma
1765	蚂	ma	ma
1766	马	ma	ma
1767	骂	ma	ma
1768	嘛	ma	ma
1769	吗	ma	ma
1770	埋	mai	mai
1771	买	mai	mai
1772	麦	mai	mai
1773	卖	mai	mai
1774	迈	mai	mai
1775	脉	mai	mai
1776	瞒	man	man
1777	馒	man	man
1778	蛮	man	man
1779	满	man	man
1780	蔓	man	man
1781	曼	man	man
1782	慢	man	man
1783	漫	man	man
1784	谩	man	man
1785	芒	mang	maN
1786	茫	mang	maN
1787	盲	mang	maN
1788	氓	mang	maN
1789	忙	mang	maN
1790	莽	mang	maN
1791	猫	mao	mau
1792	茅	mao	mau
1793	锚	mao	mau
1794	毛	mao	mau
1795	矛	mao	mau
1796	铆	mao	mau
1797	卯	mao	mau
1798	茂	mao	mau
1799	冒	mao	mau
1800	帽	mao	mau
1801	貌	mao	mau
1802	贸	mao	mau
1803	么	me
1804	玫	mei	m«i
1805	枚	mei	m«i
1806	梅	mei	m«i
1807	酶	mei	m«i
1808	霉	mei	m«i
1809	煤	mei	m«i
1810	没	mei	m«i
1811	眉	mei	m«i
1812	媒	mei	m«i
1813	镁	mei	m«i
1814	每	mei	m«i
1815	美	mei	m«i
1816	昧	mei	m«i
1817	寐	mei	m«i
1818	妹	mei	m«i
1819	媚	mei	m«i
1820	门	men	m«n
1821	闷	men	m«n
1822	们	men	m«n
1823	萌	meng	m«N
1824	蒙	meng	m«N
1825	檬	meng	m«N
1826	盟	meng	m«N
1827	锰	meng	m«N
1828	猛	meng	m«N
1829	梦	meng	m«N
1830	孟	meng	m«N
1831	眯	mi	mi
1832	醚	mi	mi
1833	靡	mi	mi
1834	糜	mi	mi
1835	迷	mi	mi
1836	谜	mi	mi
1837	弥	mi	mi
1838	米	mi	mi
1839	秘	mi	mi
1840	觅	mi	mi
1841	泌	mi	mi
1842	蜜	mi	mi
1843	密	mi	mi
1844	幂	mi	mi
1845	棉	mian	mian
1846	眠	mian	mian
1847	绵	mian	mian
1848	冕	mian	mian
1849	免	mian	mian
1850	勉	mian	mian
1851	娩	mian	mian
1852	缅	mian	mian
1853	面	mian	mian
1854	苗	miao	miau
1855	描	miao	miau
1856	瞄	miao	miau
1857	藐	miao	miau
1858	秒	miao	miau
1859	渺	miao	miau
1860	庙	miao	miau
1861	妙	miao	miau
1862	蔑	mie	mi«
1863	灭	mie	mi«
1864	民	min	min
1865	抿	min	min
1866	皿	min	min
1867	敏	min	min
1868	悯	min	min
1869	闽	min	min
1870	明	ming	mi«N
1871	螟	ming	mi«N
1872	鸣	ming	mi«N
1873	铭	ming	mi«N
1874	名	ming	mi«N
1875	命	ming	mi«N
1876	谬	miu	mi«u
1877	摸	mo	m«
1878	摹	mo	m«
1879	蘑	mo	m«
1880	模	mo	m«
1881	膜	mo	m«
1882	磨	mo	m«
1883	摩	mo	m«
1884	魔	mo	m«
1885	抹	mo	m«
1886	末	mo	m«
1887	莫	mo	m«
1888	墨	mo	m«
1889	默	mo	m«
1890	沫	mo	m«
1891	漠	mo	m«
1892	寞	mo	m«
1893	陌	mo	m«
1894	谋	mou	m«u
1895	牟	mou	m«u
1896	某	mou	m«u
1897	拇	mu	mu
1898	牡	mu	mu
1899	亩	mu	mu
1900	姆	mu	mu
1901	母	mu	mu
1902	墓	mu	mu
1903	暮	mu	mu
1904	幕	mu	mu
1905	募	mu	mu
1906	慕	mu	mu
1907	木	mu	mu
1908	目	mu	mu
1909	睦	mu	mu
1910	牧	mu	mu
1911	穆	mu	mu
1912	拿	na	na
1913	哪	na	na
1914	呐	na	na
1915	钠	na	na
1916	那	na	na
1917	娜	na	na
1918	纳	na	na
1919	氖	nai	nai
1920	乃	nai	nai
1921	奶	nai	nai
1922	耐	nai	nai
1923	奈	nai	nai
1924	南	nan	nan
1925	男	nan	nan
1926	难	nan	nan
1927	囊	nang	naN
1928	挠	nao	nau
1929	脑	nao	nau
1930	恼	nao	nau
1931	闹	nao	nau
1932	淖	nao	nau
1933	呢	ne	n«
1934	馁	nei	n«i
1935	内	nei	n«i
1936	嫩	nen	m«n
1937	能	neng	n«N
1938	妮	ni	ni
1939	霓	ni	ni
1940	倪	ni	ni
1941	泥	ni	ni
1942	尼	ni	ni
1943	拟	ni	ni
1944	你	ni	ni
1945	匿	ni	ni
1946	腻	ni	ni
1947	逆	ni	ni
1948	溺	niao	niau
1949	蔫	nian	nian
1950	拈	nian	nian
1951	年	nian	nian
1952	碾	nian	nian
1953	撵	nian	nian
1954	捻	nian	nian
1955	念	nian	nian
1956	娘	niang	niaN
1957	酿	niang	niaN
1958	鸟	niao	niau
1959	尿	niao	niau
1960	捏	nie	ni«
1961	聂	nie	ni«
1962	孽	nie	ni«
1963	啮	nie	ni«
1964	镊	nie	ni«
1965	镍	nie	ni«
1966	涅	nie	ni«
1967	您	nin	nin
1968	柠	ning	ni«N
1969	狞	ning	ni«N
1970	凝	ning	ni«N
1971	宁	ning	ni«N
1972	拧	ning	ni«N
1973	泞	ning	ni«N
1974	牛	niu	ni«u
1975	扭	niu	ni«u
1976	钮	niu	ni«u
1977	纽	niu	ni«u
1978	脓	nong	nuN
1979	浓	nong	nuN
1980	农	nong	nuN
1981	弄	nong	nuN
1982	奴	nu	nu
1983	努	nu	nu
1984	怒	nu	nu
1985	女	nü
1986	暖	nuan	nuan
1987	虐	nüe
1988	疟	nüe
1989	挪	nuo	nu«
1990	懦	nuo	nu«
1991	糯	nuo	nu«
1992	诺	nuo	nu«
1993	哦	e	«
1994	欧	ou	«u
1995	鸥	ou	«u
1996	殴	ou	«u
1997	藕	ou	«u
1998	呕	ou	«u
1999	偶	ou	«u
2000	沤	ou	«u
2001	啪	pa	pha
2002	趴	pa	pha
2003	爬	pa	pha
2004	帕	pa	pha
2005	怕	pa	pha
2006	琶	pa	pha
2007	拍	pai	phai
2008	排	pai	phai
2009	牌	pai	phai
2010	徘	pai	phai
2011	湃	pai	phai
2012	派	pai	phai
2013	攀	pan	phan
2014	潘	pan	phan
2015	盘	pan	phan
2016	磐	pan	phan
2017	盼	pan	phan
2018	畔	pan	phan
2019	判	pan	phan
2020	叛	pan	phan
2021	乓	pang	phaN
2022	庞	pang	phaN
2023	旁	pang	phaN
2024	耪	pang	phaN
2025	胖	pang	phaN
2026	抛	pao	phau
2027	咆	pao	phau
2028	刨	pao	phau
2029	炮	pao	phau
2030	袍	pao	phau
2031	跑	pao	phau
2032	泡	pao	phau
2033	呸	pei	ph«i
2034	胚	pei	ph«i
2035	培	pei	ph«i
2036	裴	pei	ph«i
2037	赔	pei	ph«i
2038	陪	pei	ph«i
2039	配	pei	ph«i
2040	佩	pei	ph«i
2041	沛	pei	ph«i
2042	喷	pen	ph«n
2043	盆	pen	ph«n
2044	砰	peng	ph«N
2045	抨	peng	ph«N
2046	烹	peng	ph«N
2047	澎	peng	ph«N
2048	彭	peng	ph«N
2049	蓬	peng	ph«N
2050	棚	peng	ph«N
2051	硼	peng	ph«N
2052	篷	peng	ph«N
2053	膨	peng	ph«N
2054	朋	peng	ph«N
2055	鹏	peng	ph«N
2056	捧	peng	ph«N
2057	碰	peng	ph«N
2058	坯	pi	phi
2059	砒	pi	phi
2060	霹	pi	phi
2061	批	pi	phi
2062	披	pi	phi
2063	劈	pi	phi
2064	琵	pi	phi
2065	毗	pi	phi
2066	啤	pi	phi
2067	脾	pi	phi
2068	疲	pi	phi
2069	皮	pi	phi
2070	匹	pi	phi
2071	痞	pi	phi
2072	僻	pi	phi
2073	屁	pi	phi
2074	譬	pi	phi
2075	篇	pian	phian
2076	偏	pian	phian
2077	片	pian	phian
2078	骗	pian	phian
2079	飘	piao	phiau
2080	漂	piao	phiau
2081	瓢	piao	phiau
2082	票	piao	phiau
2083	撇	pie	phi«
2084	瞥	pie	phi«
2085	拼	pin	phin
2086	频	pin	phin
2087	贫	pin	phin
2088	品	pin	phin
2089	聘	pin	phin
2090	乒	ping	phi«N
2091	坪	ping	phi«N
2092	苹	ping	phi«N
2093	萍	ping	phi«N
2094	平	ping	phi«N
2095	凭	ping	phi«N
2096	瓶	ping	phi«N
2097	评	ping	phi«N
2098	屏	ping	phi«N
2099	坡	po	ph«
2100	泼	po	ph«
2101	颇	po	ph«
2102	婆	po	ph«
2103	破	po	ph«
2104	魄	po	ph«
2105	迫	po	ph«
2106	粕	po	ph«
2107	剖	pou	ph«u
2108	扑	pu	phu
2109	铺	pu	phu
2110	仆	pu	phu
2111	莆	pu	phu
2112	葡	pu	phu
2113	菩	pu	phu
2114	蒲	pu	phu
2115	埔	pu	phu
2116	朴	pu	phu
2117	圃	pu	phu
2118	普	pu	phu
2119	浦	pu	phu
2120	谱	pu	phu
2121	曝	bao	pau
2122	瀑	pu	phu
2123	期	qi	tshi
2124	欺	qi	tshi
2125	栖	qi	tshi
2126	戚	qi	tshi
2127	妻	qi	tshi
2128	七	qi	tshi
2129	凄	qi	tshi
2130	漆	qi	tshi
2131	柒	qi	tshi
2132	沏	qi	tshi
2133	其	qi	tshi
2134	棋	qi	tshi
2135	奇	qi	tshi
2136	歧	qi	tshi
2137	畦	qi	tshi
2138	崎	qi	tshi
2139	脐	qi	tshi
2140	齐	qi	tshi
2141	旗	qi	tshi
2142	祈	qi	tshi
2143	祁	qi	tshi
2144	骑	qi	tshi
2145	起	qi	tshi
2146	岂	qi	tshi
2147	乞	qi	tshi
2148	企	qi	tshi
2149	启	qi	tshi
2150	契	qi	tshi
2151	砌	qi	tshi
2152	器	qi	tshi
2153	气	qi	tshi
2154	迄	qi	tshi
2155	弃	qi	tshi
2156	汽	qi	tshi
2157	泣	qi	tshi
2158	讫	qi	tshi
2159	掐	qia	tshia
2160	恰	qia	tshia
2161	洽	qia	tshia
2162	牵	qian	tshian
2163	千	qian	tshian
2164	铅	qian	tshian
2165	迁	qian	tshian
2166	签	qian	tshian
2167	仟	qian	tshian
2168	谦	qian	tshian
2169	黔	qian	tshian
2170	钱	qian	tshian
2171	钳	qian	tshian
2172	前	qian	tshian
2173	潜	qian	tshian
2174	遣	qian	tshian
2175	浅	qian	tshian
2176	谴	qian	tshian
2177	堑	qian	tshian
2178	嵌	qian	tshian
2179	欠	qian	tshian
2180	歉	qian	tshian
2181	枪	qiang	tshiaN
2182	呛	qiang	tshiaN
2183	腔	qiang	tshiaN
2184	羌	qiang	tshiaN
2185	墙	qiang	tshiaN
2186	蔷	qiang	tshiaN
2187	强	qiang	tshiaN
2188	抢	qiang	tshiaN
2189	橇	qiao	tshiau
2190	锹	qiao	tshiau
2191	敲	qiao	tshiau
2192	悄	qiao	tshiau
2193	桥	qiao	tshiau
2194	瞧	qiao	tshiau
2195	乔	qiao	tshiau
2196	侨	qiao	tshiau
2197	巧	qiao	tshiau
2198	鞘	shao	§au
2199	撬	qiao	tshiau
2200	翘	qiao	tshiau
2201	峭	qiao	tshiau
2202	俏	qiao	tshiau
2203	窍	qiao	tshiau
2204	切	qie	tshi«
2205	茄	qie	tshi«
2206	且	qie	tshi«
2207	怯	qie	tshi«
2208	窃	qie	tshi«
2209	钦	qin	tshin
2210	侵	qin	tshin
2211	亲	qin	tshin
2212	秦	qin	tshin
2213	琴	qin	tshin
2214	勤	qin	tshin
2215	芹	qin	tshin
2216	擒	qin	tshin
2217	禽	qin	tshin
2218	寝	qin	tshin
2219	沁	qin	tshin
2220	青	qing	tshi«N
2221	轻	qing	tshi«N
2222	氢	qing	tshi«N
2223	倾	qing	tshi«N
2224	卿	qing	tshi«N
2225	清	qing	tshi«N
2226	擎	qing	tshi«N
2227	晴	qing	tshi«N
2228	氰	qing	tshi«N
2229	情	qing	tshi«N
2230	顷	qing	tshi«N
2231	请	qing	tshi«N
2232	庆	qing	tshi«N
2233	琼	qiong	tshiuN
2234	穷	qiong	tshiuN
2235	秋	qiu	tshi«u
2236	丘	qiu	tshi«u
2237	邱	qiu	tshi«u
2238	球	qiu	tshi«u
2239	求	qiu	tshi«u
2240	囚	qiu	tshi«u
2241	酋	qiu	tshi«u
2242	泅	qiu	tshi«u
2243	趋	qu	tshy
2244	区	qu	tshy
2245	蛆	qu	tshy
2246	曲	qu	tshy
