# http://lingua.mtsu.edu/chinese-computing/phonology/hz2py.php
id	character	syllable	phonemes
277	铲	chan	ÿ§han
278	产	chan	ÿ§han
279	阐	chan	ÿ§han
280	颤	chan	ÿ§han
281	昌	chang	ÿ§haN
282	猖	chang	ÿ§haN
283	场	chang	ÿ§haN
284	尝	chang	ÿ§haN
285	常	chang	ÿ§haN
286	长	chang	ÿ§haN
287	偿	chang	ÿ§haN
288	肠	chang	ÿ§haN
289	厂	chang	ÿ§haN
290	敞	chang	ÿ§haN
291	畅	chang	ÿ§haN
292	唱	chang	ÿ§haN
293	倡	chang	ÿ§haN
294	超	chao	ÿ§hau
295	抄	chao	ÿ§hau
296	钞	chao	ÿ§hau
297	朝	chao	ÿ§hau
298	嘲	chao	ÿ§hau
299	潮	chao	ÿ§hau
300	巢	chao	ÿ§hau
301	吵	chao	ÿ§hau
302	炒	chao	ÿ§hau
303	车	che	ÿ§h«
304	扯	che	ÿ§h«
305	撤	che	ÿ§h«
306	掣	che	ÿ§h«
307	彻	che	ÿ§h«
308	澈	che	ÿ§h«
309	郴	chen	ÿ§h«n
310	臣	chen	ÿ§h«n
311	辰	chen	ÿ§h«n
312	尘	chen	ÿ§h«n
313	晨	chen	ÿ§h«n
314	忱	chen	ÿ§h«n
315	沉	chen	ÿ§h«n
316	陈	chen	ÿ§h«n
317	趁	chen	ÿ§h«n
318	衬	chen	ÿ§h«n
319	撑	cheng	ÿ§h«N
320	称	chen	ÿ§h«n
321	城	cheng	ÿ§h«N
322	橙	cheng	ÿ§h«N
323	成	cheng	ÿ§h«N
324	呈	cheng	ÿ§h«N
325	乘	sheng	§«N
326	程	cheng	ÿ§h«N
327	惩	cheng	ÿ§h«N
328	澄	cheng	ÿ§h«N
329	诚	cheng	ÿ§h«N
330	承	cheng	ÿ§h«N
331	逞	cheng	ÿ§h«N
332	骋	cheng	ÿ§h«N
333	秤	chen	ÿ§h«n
334	吃	chi	ÿ§h
335	痴	chi	ÿ§h
336	持	chi	ÿ§h
337	匙	chi	ÿ§h
338	池	chi	ÿ§h
339	迟	chi	ÿ§h
340	弛	chi	ÿ§h
341	驰	chi	ÿ§h
342	耻	chi	ÿ§h
343	齿	chi	ÿ§h
344	侈	chi	ÿ§h
345	尺	chi	ÿ§h
346	赤	chi	ÿ§h
347	翅	chi	ÿ§h
348	斥	chi	ÿ§h
349	炽	chi	ÿ§h
350	充	chong	ÿ§huN
351	冲	chong	ÿ§huN
352	虫	chong	ÿ§huN
353	崇	chong	ÿ§huN
354	宠	chong	ÿ§huN
355	抽	chou	ÿ§h«u
356	酬	chou	ÿ§h«u
357	畴	chou	ÿ§h«u
358	踌	chou	ÿ§h«u
359	稠	chou	ÿ§h«u
360	愁	chou	ÿ§h«u
361	筹	chou	ÿ§h«u
362	仇	chou	ÿ§h«u
363	绸	chou	ÿ§h«u
364	瞅	chou	ÿ§h«u
365	丑	chou	ÿ§h«u
366	臭	chou	ÿ§h«u
367	初	chu	ÿ§hu
368	出	chu	ÿ§hu
369	橱	chu	ÿ§hu
370	厨	chu	ÿ§hu
371	躇	chu	ÿ§hu
372	锄	chu	ÿ§hu
373	雏	chu	ÿ§hu
374	滁	chu	ÿ§hu
375	除	chu	ÿ§hu
376	楚	chu	ÿ§hu
377	础	chu	ÿ§hu
378	储	chu	ÿ§hu
379	矗	chu	ÿ§hu
380	搐	chu	ÿ§hu
381	触	chu	ÿ§hu
382	处	chu	ÿ§hu
383	揣	chuai	ÿ§huai
384	川	chuan	ÿ§huan
385	穿	chuan	ÿ§huan
386	椽	chuan	ÿ§huan
387	传	chuan	ÿ§huan
388	船	chuan	ÿ§huan
389	喘	chuan	ÿ§huan
390	串	chuan	ÿ§huan
391	疮	chuang	ÿ§huaN
392	窗	chuang	ÿ§huaN
393	幢	zhuang	ÿ§uaN
394	床	chuang	ÿ§huaN
395	闯	chuang	ÿ§huaN
396	创	chuang	ÿ§huaN
397	吹	chui	ÿ§hu«i
398	炊	chui	ÿ§hu«i
399	捶	chui	ÿ§hu«i
400	锤	chui	ÿ§hu«i
401	垂	chui	ÿ§hu«i
402	春	chun	ÿ§hu«n
403	椿	chun	ÿ§hu«n
404	醇	chun	ÿ§hu«n
405	唇	chun	ÿ§hu«n
406	淳	chun	ÿ§hu«n
407	纯	chun	ÿ§hu«n
408	蠢	chun	ÿ§hu«n
409	戳	chuo	ÿ§hu«
410	绰	chuo	ÿ§hu«
411	疵	ci	tsh
412	茨	ci	tsh
413	磁	ci	tsh
414	雌	ci	tsh
415	辞	ci	tsh
416	慈	ci	tsh
417	瓷	ci	tsh
418	词	ci	tsh
419	此	ci	tsh
420	刺	ci	tsh
421	赐	ci	tsh
422	次	ci	tsh
423	聪	cong	tshuN
424	葱	cong	tshuN
425	囱	cong	tshuN
426	匆	cong	tshuN
427	从	cong	tshuN
428	丛	cong	tshuN
429	凑	cou	tsh«u
430	粗	cu	tshu
431	醋	cu	tshu
432	簇	cu	tshu
433	促	cu	tshu
434	蹿	cuan	tshuan
435	篡	cuan	tshuan
436	窜	cuan	tshuan
437	摧	cui	tshu«i
438	崔	cui	tshu«i
439	催	cui	tshu«i
440	脆	cui	tshu«i
441	瘁	cui	tshu«i
442	粹	cui	tshu«i
443	淬	cui	tshu«i
444	翠	cui	tshu«i
445	村	cun	tshu«n
446	存	cun	tshu«n
447	寸	cun	tshu«n
448	磋	cuo	tshu«
449	撮	cuo	tshu«
450	搓	cuo	tshu«
451	措	cuo	tshu«
452	挫	cuo	tshu«
453	错	cuo	tshu«
454	搭	da	ta
455	达	da	ta
456	答	da	ta
457	瘩	da	ta
458	打	da	ta
459	大	da	ta
460	呆	dai	tai
461	歹	dai	tai
462	傣	dai	tai
463	戴	dai	tai
464	带	dai	tai
465	殆	dai	tai
466	代	dai	tai
467	贷	dai	tai
468	袋	dai	tai
469	待	dai	tai
470	逮	dai	tai
471	怠	dai	tai
472	耽	dan	tan
473	担	dan	tan
474	丹	dan	tan
475	单	dan	tan
476	郸	dan	tan
477	掸	dan	tan
478	胆	dan	tan
479	旦	dan	tan
480	氮	dan	tan
481	但	dan	tan
482	惮	dan	tan
483	淡	dan	tan
484	诞	dan	tan
485	弹	dan	tan
486	蛋	dan	tan
487	当	dang	taN
488	挡	dang	taN
489	党	dang	taN
490	荡	dang	taN
491	档	dang	taN
492	刀	dao	tau
493	捣	dao	tau
494	蹈	dao	tau
495	倒	dao	tau
496	岛	dao	tau
497	祷	dao	tau
498	导	dao	tau
499	到	dao	tau
500	稻	dao	tau
501	悼	dao	tau
502	道	dao	tau
503	盗	dao	tau
504	德	de	t«
505	得	de	t«
506	的	de	t«
507	蹬	deng	t«N
508	灯	deng	t«N
509	登	deng	t«N
510	等	deng	t«N
511	瞪	deng	t«N
512	凳	deng	t«N
513	邓	deng	t«N
514	堤	di	ti
515	低	di	ti
516	滴	di	ti
517	迪	di	ti
518	敌	di	ti
519	笛	di	ti
520	狄	di	ti
521	涤	di	ti
522	翟	zhai	ÿ§ai
523	嫡	di	ti
524	抵	di	ti
525	底	di	ti
526	地	di	ti
527	蒂	di	ti
528	第	di	ti
529	帝	di	ti
