# http://lingua.mtsu.edu/chinese-computing/phonology/syllabletone.php
id	pinyin	frequency	phonemes
1048	zhong1	133105	ÿ§uN
1049	zhong3	11559	ÿ§uN
1050	zhong4	1981434	ÿ§uN
1051	zhou1	195545	ÿ§«u
1052	zhou3	1877	ÿ§«u
1053	zhou4	41606	ÿ§«u
1054	zhu1	91765	ÿ§u
1055	zhu2	50801	ÿ§u
1056	zhu3	410078	ÿ§u
1057	zhu4	405809	ÿ§u
1058	zhua1	31675	ÿ§ua
1059	zhua3	4419	ÿ§ua
1060	zhuai4	1396	ÿ§uai
1061	zhuan1	88873	ÿ§uan
1062	zhuan4	126883	ÿ§uan
1063	zhuang1	124651	ÿ§uaN
1064	zhuang4	95916	ÿ§uaN
1065	zhui1	52705	ÿ§u«i
1066	zhui4	6867	ÿ§u«i
1067	zhun3	113877	ÿ§u«n
1068	zhuo1	41721	ÿ§u«
1069	zhuo2	9315	ÿ§u«
1070	zi1	199928	ts
1071	zi3	669512	ts
1072	zi4	719905	ts
1073	zong1	66582	tsuN
1074	zong3	184470	tsuN
1075	zong4	20599	tsuN
1076	zou1	1591	ts«u
1077	zou3	193619	ts«u
1078	zou4	12859	ts«u
1079	zu1	16052	tsu
1080	zu2	154865	tsu
1081	zu3	174064	tsu
1082	zuan4	10064	tsuan
1083	zui1	16920	tsu«i
1084	zui3	30765	tsu«i
1085	zui4	345049	tsu«i
1086	zun1	36597	tsu«n
1087	zuo2	14406	tsu«
1088	zuo3	51946	tsu«
1089	zuo4	827478	tsu«
